Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,48,1N4148,
"MX1, MX10, MX11, MX12, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX37, MX4, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX5, MX6, MX7, MX8, MX9",MX-Alps-Hybrid-1U,38,MX_SW_solder,
"MX13, MX34, MX35, MX36, MX40, MX41",MX-Alps-Hybrid-1.25U,6,MX_SW_solder,
"MX23, MX24",MX-Alps-Hybrid-1.75U,2,MX_SW_solder,
MX38,MX-Alps-Hybrid-2.75U,1,MX_SW_solder,
MX39,MX-Alps-Hybrid-2.25U,1,MX_SW_solder,
OLED1,SSD1306-0.91-OLED-4pin-128x32,1,Conn_01x04_Socket,
