Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,53,1N4148,
"MX1, MX10, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX5, MX6, MX7, MX8, MX9",MX-Alps-Hybrid-1U,39,MX,
"MX11, MX22, MX46, MX53",MX-Alps-Hybrid-1.5U,4,MX,
"MX23, MX45",MX-Alps-Hybrid-1.75U,2,MX,
"MX34, MX47, MX48, MX51, MX52",MX-Alps-Hybrid-1.25U,5,MX,
"MX34-1, MX35, MX50",MX-Alps-Hybrid-2.25U-ReversedStabilizers,3,MX,
MX49,MX-Alps-Hybrid-2.75U-ReversedStabilizers,1,MX,
